media_id,filename,type,primary_topic,secondary_topics,documentary_significance,historical_date,date_ingested,archive_origin,batch_id,rights_status,social_ready,pitch_ready,quality_rating,sha256_hash,treatment_sections
CIC-HEL-004,us_226316_f0001_i0002a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-005,us_226316_f0001_i0003.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-006,us_226316_f0001_i0003a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-007,us_226316_f0001_i0004.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-008,us_226316_f0001_i0005.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-009,us_226316_f0001_i0005a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-010,us_226316_f0001_i0006.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-011,us_226316_f0001_i0007.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-012,us_226316_f0001_i0008.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-013,us_226316_f0001_i0008a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-014,US_226316_f0002_i0002.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-015,US_226316_f0002_i0002a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-016,US_226316_f0002_i0003.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-017,US_226316_f0002_i0004.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
